fire	pixdistance	time(s)	pixspeed	speed (m/s)
------------------------------------------------------------------
13fsingle1	133	50	2	0.0532
13fsingle2	375	25	15	0.3
13fsingle3	311	66	4	0.0942424242424
15fclump1	480	40	12	0.24
15fclump2	800	325	2	0.0492307692308
15fopen1	800	70	11	0.228571428571
15fopen2	800	72	11	0.222222222222
15fsingle1	480	33	14	0.290909090909
15fsingle2	280	45	6	0.124444444444
15sclump4	480	40	12	0.24
15sclump5	480	33	14	0.290909090909
15sopen2	800	25	32	0.64
15sopen4	640	53	12	0.241509433962
15ssingle4	0	100	0	0.0
fclump1 	640	65	9	0.196923076923
fclump2 	640	50	12	0.256
fclump3 	800	110	7	0.145454545455
fclump4 	0	100	0	0.0
fclump5 	480	65	7	0.147692307692
fopen1  	640	83	7	0.15421686747
fopen2  	640	32	20	0.4
fopen3  	640	57	11	0.224561403509
fopen4  	800	110	7	0.145454545455
fopen5  	800	140	5	0.114285714286
fsingle1	640	135	4	0.0948148148148
fsingle2	480	28	17	0.342857142857
fsingle3	800	160	5	0.1
fsingle4	640	350	1	0.0365714285714
fsingle5	480	70	6	0.137142857143
sclump1 	640	105	6	0.121904761905
sclump2 	640	350	1	0.0365714285714
sclump4 	640	105	6	0.121904761905
sclump5 	480	45	10	0.213333333333
sopen1  	0	100	0	0.0
sopen2  	800	600	1	0.0266666666667
sopen4  	800	57	14	0.280701754386
sopen5  	640	48	13	0.266666666667
ssingle2	0	100	0	0.0
ssingle4	800	34	23	0.470588235294
ssingle5	480	30	16	0.32
